regulation_name,country,announced_date,enforcement_date,category,api_category,reference_point,purpose,keywords,official_link,status1,status2
Modernizing Data Practices to Improve Government Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/5109/text,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 744.
Federal AI Governance and Transparency Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/7532/text,Not in force,"Placed on the Union Calendar, Calendar No. 740."
Department of Energy Artificial Intelligence Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/9671/text,Not in force,Ordered to be Reported (Amended) by Voice Vote.
Federal Information Modernization Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/4552/text,Not in force,"Placed on the Union Calendar, Calendar No. 790."
AI for National Security Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/1718?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=53,Not in force,Referred to the House Committee on Armed Services.
Artificial¬†Intelligence¬†Bug Bounty Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/2502?q=%7B%22search%22%3A%22bug+bounty+act%22%7D&s=3&r=1,Not in force,Referred to the House Committee on Financial Services.
Preventing Adversaries from Developing Critical Capabilities Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/6349/text,Not in force,Ordered to be Reported by Voice Vote.
Securing Elections From AI Deception Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/8858/text,Not in force,Referred to the House Committee on Energy and Commerce.
"Artificial Intelligence Consumer Opt-in, Notification, Standards, and Ethical Norms for Training Act",United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3975/text?s=1&r=2&q=%7B%22search%22%3A%22Artificial+Intelligence+Consumer+Opt-in%2C+Notification%2C+Standards%2C+and+Ethical+Norms+for+Training+Act%22%7D,Not in force,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
AI Transparency in Elections Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3875?q=%7B%22search%22%3A%22ai+transparency+in+elections%22%7D&s=2&r=1,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 389.
AI Transparency in Elections Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/8668/text,Not in force,Referred to the House Committee on House Administration.
Tools to Address Known Exploitation by Immobilizing Technological Deepfakes on Websites and Networks (TAKE IT DOWN) Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4569/text,Not in force,Held at the desk.
AI Transparency in Elections Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3875?q=%7B%22search%22%3A%22ai+transparency+in+elections%22%7D&s=2&r=1,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 389.
AI Transparency in Elections Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/8668/text,Not in force,Referred to the House Committee on House Administration.
Fraudulent Artificial Intelligence Regulations (FAIR) Elections Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4714/text,Not in force,Read twice and referred to the Committee on Rules and Administration.
Social Media and AI Resiliency Toolkits (SMART) in Schools Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4614/text,Not in force,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
Civilian Agency AI Watermark Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/9042/text,Not in force,"Referred to the Subcommittee on Oversight, Investigations, and Accountability."
To provide for federal civilian agency laboratory development for testing and certification of artificial intelligence for civilian agency use,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/9043/text,Not in force,"Referred to the Subcommittee on Oversight, Investigations, and Accountability."
Preparomg Election Administrators for AI Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3897/text,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 390.
AI Ads Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/9639/text,Not in force,Referred to the House Committee on House Administration.
Content Origin Protection and Integrity from Edited and Deepfaked (COPIED) Media Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4674/text,Not in force,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
Ending FCC Meddling in Our Elections Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4853/text,Not in force,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 449.
Generative AI Copyright Disclosure Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/7913/text,Not in force,Referred to the House Committee on the Judiciary.
AI Plan Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/7781/text,Not in force,Referred to the House Committee on Financial Services.
"A bill to ensure that new advances in artificial intelligence are ethically adopted to improve the health of all individuals, and for other purposes",United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4862/text,Not in force,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
Disrupt Explicit Forged Images and Non-Consensual Edits Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/7569/text,Not in force,Referred to the House Committee on the Judiciary.
AI Incident Reporting and Security Enhancement Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/9720/text,Not in force,Ordered to be Reported by Voice Vote.
Enhancing National Frameworks for Overseas Reaction of Critical Exports Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/8315/text,Not in force,Ordered to be Reported (Amended) by the Yeas and Nays: 43 - 3.
AI Development Practices Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/9466/text,Not in force,Ordered to be Reported by Voice Vote.
Future of Artificial Intelligence Innovation Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4178/text,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 725.
Child Exploitation and Artificial Intelligence Expert Commission Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/8005/text,Not in force,Referred to the House Committee on the Judiciary.
Protecting Consumers from Deceptive AI Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/7766/text,Not in force,"Referred to the Subcommittee on Innovation, Data, and Commerce."
A bill to require reports on artificial intelligence regulation in the financial services industry,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4870/text,Not in force,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs."
Strategy for Public Health Preparedness and Response to Artificial Intelligence Threats,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/2346?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=2&r=3,Not in force,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
Artificial¬†Intelligence¬†and Biosecurity Risk Assessment Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/4704?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=2&r=4,Not in force,Referred to the House Committee on Financial Services.
A bill to waive immunity under section 230 of the Communications Act of 1934 for claims and charges related to generative¬†artificial¬†intelligence.,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/1993?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=2&r=6,Not in force,Referred to the House Committee on Financial Services.
Block Nuclear Launch by Autonomous¬†Artificial¬†Intelligence¬†Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/1394?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=2&r=7,Not in force,Referred to the House Committee on Financial Services.
Closing Loopholes for the Overseas Use and Development of¬†Artificial¬†Intelligence¬†Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/4683?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=2&r=9,Not in force,Referred to the House Committee on Financial Services.
AI Accountability Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/3369?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=2&r=17,Not in force,"Placed on the Union Calendar, Calendar No. 195."
Candidate Voice Fraud Prohibition Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/4611?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=25,Not in force,Referred to the House Committee on House Administration.
Require the Exposure of AI-Led (REAL) Political Advertisements Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/3044/related-bills?s=3&r=29&q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D,Not in force,Referred to the House Committee on House Administration.
Stop Spying Bosses Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/262?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=36,Not in force,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
AI Labeling Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/2691?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=38,Not in force,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
Advisory for AI-Generated Content Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/2765?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=65,Not in force,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
Exploitative Workplace Surveillance and Technologies Task Force Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/2440/text?s=3&r=80&q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D,Not in force,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
Political BIAS Emails Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/5495/text?s=2&r=12&q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D,Not in force,"Referred to the Subcommittee on Innovation, Data, and Commerce."
Preventing Deep Fake Scams Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/5808/text?s=2&r=5&q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D,Not in force,Referred to the House Committee on Financial Services.
Preventing Deep Fake Scams Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/5808,Not in force,Referred to the House Committee on Financial Services.
Protect Elections from Deceptive AI Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/2770?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=82,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 388.
Protect Elections from Deceptive AI Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/8384/text,Not in force,Referred to the House Committee on House Administration.
Digital Defense Content Provenance Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/2222/text?s=3&r=84&q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D,Not in force,Read twice and referred to the Committee on Armed Services.
Protect Working Musicians Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/5576/text?s=2&r=9&q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D,Not in force,Referred to the House Committee on the Judiciary.
No Robot Bosses Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/2419/text?s=3&r=100&q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D,Not in force,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
Digital Consumer Protection Commission Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/2597?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=5&r=107,Not in force,Read twice and referred to the Committee on the Judiciary.
"Artificial Intelligence Research, Innovation and Accountability Act",United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3312?s=2&r=1,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 723.
Federal Artificial Intelligence Risk Management Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3205?s=1&r=5,Not in force,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
TEST AI Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3162/text?s=6&r=4&q=%7B%22search%22%3A%22artificial+intelligence%22%7D,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 722.
FAIRR Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3554/text?s=2&r=1&q=%7B%22search%22%3A%22FAIRR+Act%22%7D,Not in force,"Committee on Banking, Housing, and Urban Affairs. Hearings held."
AI Foundation Model Transparency Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/6881/text,Not in force,Referred to the House Committee on Energy and Commerce.
DEEPFAKES Accountability Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/5586/text,Not in force,Referred to the Subcommittee on Emergency Management and Technology.
NO AI FRAUD Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/6943?s=2&r=1&q=%7B%22search%22%3A%22no+ai+fraud+act%22%7D,Not in force,Referred to the House Committee on the Judiciary.
Eliminating Bias in Algorithmic Systems Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3478,Not in force,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
Artificial Intelligence Civil Rights Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/5152?loclr=cga-search,Not in force,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
DEFIANCE Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3696/text,Not in force,Referred to the House Committee on Financial Services.
QUIET Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/7123/text,Not in force,Referred to the Subcommittee on Communications and Technology.
R U REAL Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/7120/text,Not in force,"Referred to the Subcommittee on Innovation, Data, and Commerce."
